Section_num,Section,Question_num,Question,Short label,Job Class,1 Strongly disagree,2 Somewhat disagree,3 Neither agree/disagree,4 Somewhat agree,5 Strongly agree,No opinion,Total Responses,Year
1,Job satisfaction,8,I have access to the right equipment and training to do my job.,Right equipment and training,1. Senior Management,0,0,1,0,6,0,7,2026
1,Job satisfaction,8,I have access to the right equipment and training to do my job.,Right equipment and training,2. Scientist/Engineer,0,1,0,4,11,0,16,2026
1,Job satisfaction,8,I have access to the right equipment and training to do my job.,Right equipment and training,"3. Admin, IT, comms",0,0,1,3,4,0,8,2026
1,Job satisfaction,8,I have access to the right equipment and training to do my job.,Right equipment and training,4. Technician,0,0,2,6,8,0,16,2026
1,Job satisfaction,9,I receive support from SCCWRP when I ask for it.,Receive support when I ask,1. Senior Management,0,0,1,0,6,0,7,2026
1,Job satisfaction,9,I receive support from SCCWRP when I ask for it.,Receive support when I ask,2. Scientist/Engineer,0,0,2,7,7,0,16,2026
1,Job satisfaction,9,I receive support from SCCWRP when I ask for it.,Receive support when I ask,"3. Admin, IT, comms",0,0,0,3,5,0,8,2026
1,Job satisfaction,9,I receive support from SCCWRP when I ask for it.,Receive support when I ask,4. Technician,1,0,1,5,8,1,16,2026
1,Job satisfaction,10,I feel comfortable expressing ideas and concerns to my supervisor.,Comfortable raising concerns,1. Senior Management,1,0,0,0,6,0,7,2026
1,Job satisfaction,10,I feel comfortable expressing ideas and concerns to my supervisor.,Comfortable raising concerns,2. Scientist/Engineer,0,2,1,1,12,0,16,2026
1,Job satisfaction,10,I feel comfortable expressing ideas and concerns to my supervisor.,Comfortable raising concerns,"3. Admin, IT, comms",0,0,1,2,5,0,8,2026
1,Job satisfaction,10,I feel comfortable expressing ideas and concerns to my supervisor.,Comfortable raising concerns,4. Technician,1,2,0,6,7,0,16,2026
1,Job satisfaction,11,I feel safe filling out this survey truthfully.,Safe answering this survey,1. Senior Management,1,0,0,0,6,0,7,2026
1,Job satisfaction,11,I feel safe filling out this survey truthfully.,Safe answering this survey,2. Scientist/Engineer,0,1,0,3,12,0,16,2026
1,Job satisfaction,11,I feel safe filling out this survey truthfully.,Safe answering this survey,"3. Admin, IT, comms",1,0,0,1,6,0,8,2026
1,Job satisfaction,11,I feel safe filling out this survey truthfully.,Safe answering this survey,4. Technician,1,3,4,2,6,0,16,2026
2,SCCWRP executive management,1,Executive management keeps SCCWRP running smoothly.,Keeps SCCWRP running smoothly,1. Senior Management,0,0,0,2,4,1,7,2026
2,SCCWRP executive management,1,Executive management keeps SCCWRP running smoothly.,Keeps SCCWRP running smoothly,2. Scientist/Engineer,0,0,0,5,11,0,16,2026
2,SCCWRP executive management,1,Executive management keeps SCCWRP running smoothly.,Keeps SCCWRP running smoothly,"3. Admin, IT, comms",0,0,0,2,5,1,8,2026
2,SCCWRP executive management,1,Executive management keeps SCCWRP running smoothly.,Keeps SCCWRP running smoothly,4. Technician,0,2,1,5,8,0,16,2026
2,SCCWRP executive management,2,Executive management has a clear vision for SCCWRP’s directions as an organization.,Has a clear vision,1. Senior Management,0,0,0,1,5,1,7,2026
2,SCCWRP executive management,2,Executive management has a clear vision for SCCWRP’s directions as an organization.,Has a clear vision,2. Scientist/Engineer,0,0,0,1,15,0,16,2026
2,SCCWRP executive management,2,Executive management has a clear vision for SCCWRP’s directions as an organization.,Has a clear vision,"3. Admin, IT, comms",0,0,0,2,5,1,8,2026
2,SCCWRP executive management,2,Executive management has a clear vision for SCCWRP’s directions as an organization.,Has a clear vision,4. Technician,0,0,0,4,11,1,16,2026
2,SCCWRP executive management,3,Executive management communicates well with SCCWRP staff.,Communicates well with staff,1. Senior Management,0,1,1,3,1,1,7,2026
2,SCCWRP executive management,3,Executive management communicates well with SCCWRP staff.,Communicates well with staff,2. Scientist/Engineer,0,3,4,6,3,0,16,2026
2,SCCWRP executive management,3,Executive management communicates well with SCCWRP staff.,Communicates well with staff,"3. Admin, IT, comms",0,1,0,3,4,0,8,2026
2,SCCWRP executive management,3,Executive management communicates well with SCCWRP staff.,Communicates well with staff,4. Technician,0,3,6,3,3,1,16,2026
2,SCCWRP executive management,4,Executive management leads by example.,Leads by example,1. Senior Management,0,0,1,2,3,1,7,2026
2,SCCWRP executive management,4,Executive management leads by example.,Leads by example,2. Scientist/Engineer,0,1,1,6,8,0,16,2026
2,SCCWRP executive management,4,Executive management leads by example.,Leads by example,"3. Admin, IT, comms",0,1,0,3,4,0,8,2026
2,SCCWRP executive management,4,Executive management leads by example.,Leads by example,4. Technician,1,2,6,3,3,1,16,2026
3,Understanding of SCCWRP,1,I understand SCCWRP's mission.,Understand the mission,1. Senior Management,0,0,0,1,6,0,7,2026
3,Understanding of SCCWRP,1,I understand SCCWRP's mission.,Understand the mission,2. Scientist/Engineer,0,0,0,0,16,0,16,2026
3,Understanding of SCCWRP,1,I understand SCCWRP's mission.,Understand the mission,"3. Admin, IT, comms",0,0,1,2,5,0,8,2026
3,Understanding of SCCWRP,1,I understand SCCWRP's mission.,Understand the mission,4. Technician,0,0,0,5,11,0,16,2026
3,Understanding of SCCWRP,2,I understand how the work I do advances SCCWRP’s mission.,My work advances the mission,1. Senior Management,0,0,0,1,6,0,7,2026
3,Understanding of SCCWRP,2,I understand how the work I do advances SCCWRP’s mission.,My work advances the mission,2. Scientist/Engineer,0,0,0,4,12,0,16,2026
3,Understanding of SCCWRP,2,I understand how the work I do advances SCCWRP’s mission.,My work advances the mission,"3. Admin, IT, comms",0,0,0,3,5,0,8,2026
3,Understanding of SCCWRP,2,I understand how the work I do advances SCCWRP’s mission.,My work advances the mission,4. Technician,0,1,2,3,10,0,16,2026
3,Understanding of SCCWRP,3,I understand how SCCWRP evaluates my job performance.,Understand my performance review,1. Senior Management,0,0,0,1,6,0,7,2026
3,Understanding of SCCWRP,3,I understand how SCCWRP evaluates my job performance.,Understand my performance review,2. Scientist/Engineer,0,1,1,2,12,0,16,2026
3,Understanding of SCCWRP,3,I understand how SCCWRP evaluates my job performance.,Understand my performance review,"3. Admin, IT, comms",0,1,1,1,5,0,8,2026
3,Understanding of SCCWRP,3,I understand how SCCWRP evaluates my job performance.,Understand my performance review,4. Technician,1,2,2,6,5,0,16,2026
3,Understanding of SCCWRP,4,I understand how SCCWRP evaluates the organization's performance.,Understand org performance review,1. Senior Management,0,0,0,1,6,0,7,2026
3,Understanding of SCCWRP,4,I understand how SCCWRP evaluates the organization's performance.,Understand org performance review,2. Scientist/Engineer,0,1,0,4,11,0,16,2026
3,Understanding of SCCWRP,4,I understand how SCCWRP evaluates the organization's performance.,Understand org performance review,"3. Admin, IT, comms",0,0,3,0,5,0,8,2026
3,Understanding of SCCWRP,4,I understand how SCCWRP evaluates the organization's performance.,Understand org performance review,4. Technician,1,0,4,5,6,0,16,2026
3,Understanding of SCCWRP,5,I understand SCCWRP’s business model.,Understand the business model,1. Senior Management,0,0,0,1,6,0,7,2026
3,Understanding of SCCWRP,5,I understand SCCWRP’s business model.,Understand the business model,2. Scientist/Engineer,0,1,0,7,8,0,16,2026
3,Understanding of SCCWRP,5,I understand SCCWRP’s business model.,Understand the business model,"3. Admin, IT, comms",0,0,2,1,5,0,8,2026
3,Understanding of SCCWRP,5,I understand SCCWRP’s business model.,Understand the business model,4. Technician,1,2,2,7,4,0,16,2026
4,Working at SCCWRP,1,"SCCWRP fosters a safe, inclusive work environment.","Safe, inclusive environment",1. Senior Management,0,0,1,0,6,0,7,2026
4,Working at SCCWRP,1,"SCCWRP fosters a safe, inclusive work environment.","Safe, inclusive environment",2. Scientist/Engineer,0,1,0,4,11,0,16,2026
4,Working at SCCWRP,1,"SCCWRP fosters a safe, inclusive work environment.","Safe, inclusive environment","3. Admin, IT, comms",0,0,0,1,7,0,8,2026
4,Working at SCCWRP,1,"SCCWRP fosters a safe, inclusive work environment.","Safe, inclusive environment",4. Technician,0,3,1,4,8,0,16,2026
4,Working at SCCWRP,2,SCCWRP values its employees.,Values its employees,1. Senior Management,0,0,1,1,5,0,7,2026
4,Working at SCCWRP,2,SCCWRP values its employees.,Values its employees,2. Scientist/Engineer,0,0,2,7,7,0,16,2026
4,Working at SCCWRP,2,SCCWRP values its employees.,Values its employees,"3. Admin, IT, comms",0,0,1,3,4,0,8,2026
4,Working at SCCWRP,2,SCCWRP values its employees.,Values its employees,4. Technician,1,2,3,7,3,0,16,2026
4,Working at SCCWRP,3,SCCWRP treats its employees fairly.,Treats employees fairly,1. Senior Management,0,0,1,1,5,0,7,2026
4,Working at SCCWRP,3,SCCWRP treats its employees fairly.,Treats employees fairly,2. Scientist/Engineer,0,2,1,6,7,0,16,2026
4,Working at SCCWRP,3,SCCWRP treats its employees fairly.,Treats employees fairly,"3. Admin, IT, comms",0,0,1,1,6,0,8,2026
4,Working at SCCWRP,3,SCCWRP treats its employees fairly.,Treats employees fairly,4. Technician,2,2,2,6,4,0,16,2026
4,Working at SCCWRP,4,SCCWRP’s staff is diverse.,Staff is diverse,1. Senior Management,0,1,1,1,4,0,7,2026
4,Working at SCCWRP,4,SCCWRP’s staff is diverse.,Staff is diverse,2. Scientist/Engineer,0,2,2,9,3,0,16,2026
4,Working at SCCWRP,4,SCCWRP’s staff is diverse.,Staff is diverse,"3. Admin, IT, comms",0,0,1,3,4,0,8,2026
4,Working at SCCWRP,4,SCCWRP’s staff is diverse.,Staff is diverse,4. Technician,0,2,1,5,8,0,16,2026
